Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
10000,1,1,1,52,168,168,1,90730
,,,,,,168,2,85462
,,,,,,168,3,82316
,,,,,,168,4,80994
,,,,,,168,5,80600
,,,,,,168,6,81880
,,,,,,168,7,85364
,,,,,,168,8,84698
,,,,,,168,9,80896
,,,,,,168,10,73630
,,,,,,168,11,65730
,,,,,,168,12,65392
,,,,,,168,13,64834
,,,,,,168,14,67992
,,,,,,168,15,75356
,,,,,,168,16,87616
,,,,,,168,17,101842
,,,,,,168,18,113762
,,,,,,168,19,115312
,,,,,,168,20,114090
,,,,,,168,21,110986
,,,,,,168,22,107086
,,,,,,168,23,101372
,,,,,,168,24,93744
,,,,,,168,25,85310
,,,,,,168,26,81978
,,,,,,168,27,79848
,,,,,,168,28,80274
,,,,,,168,29,82174
,,,,,,168,30,86632
,,,,,,168,31,94456
,,,,,,168,32,97568
,,,,,,168,33,91308
,,,,,,168,34,85310
,,,,,,168,35,82666
,,,,,,168,36,82568
,,,,,,168,37,84262
,,,,,,168,38,89058
,,,,,,168,39,96924
,,,,,,168,40,107206
,,,,,,168,41,121880
,,,,,,168,42,137580
,,,,,,168,43,135974
,,,,,,168,44,130424
,,,,,,168,45,126894
,,,,,,168,46,120940
,,,,,,168,47,111892
,,,,,,168,48,103218
,,,,,,168,49,98290
,,,,,,168,50,95308
,,,,,,168,51,94116
,,,,,,168,52,94980
,,,,,,,53,97962
,,,,,,,54,106102
,,,,,,,55,124360
,,,,,,,56,137176
,,,,,,,57,130630
,,,,,,,58,123070
,,,,,,,59,121726
,,,,,,,60,121158
,,,,,,,61,122600
,,,,,,,62,125136
,,,,,,,63,129146
,,,,,,,64,135962
,,,,,,,65,150156
,,,,,,,66,167878
,,,,,,,67,167244
,,,,,,,68,162818
,,,,,,,69,159792
,,,,,,,70,143600
,,,,,,,71,132948
,,,,,,,72,123376
,,,,,,,73,116832
,,,,,,,74,113576
,,,,,,,75,111772
,,,,,,,76,112166
,,,,,,,77,114504
,,,,,,,78,121814
,,,,,,,79,139328
,,,,,,,80,151620
,,,,,,,81,138378
,,,,,,,82,125856
,,,,,,,83,118296
,,,,,,,84,119236
,,,,,,,85,129494
,,,,,,,86,134214
,,,,,,,87,134936
,,,,,,,88,143852
,,,,,,,89,157268
,,,,,,,90,172346
,,,,,,,91,170008
,,,,,,,92,163594
,,,,,,,93,158668
,,,,,,,94,140924
,,,,,,,95,128140
,,,,,,,96,117760
,,,,,,,97,110386
,,,,,,,98,106572
,,,,,,,99,104802
,,,,,,,100,104452
,,,,,,,101,106156
,,,,,,,102,113030
,,,,,,,103,130140
,,,,,,,104,144496
,,,,,,,105,138520
,,,,,,,106,123846
,,,,,,,107,115466
,,,,,,,108,108310
,,,,,,,109,106922
,,,,,,,110,111084
,,,,,,,111,117618
,,,,,,,112,126108
,,,,,,,113,141382
,,,,,,,114,156798
,,,,,,,115,154090
,,,,,,,116,148702
,,,,,,,117,145304
,,,,,,,118,129636
,,,,,,,119,119508
,,,,,,,120,109632
,,,,,,,121,102048
,,,,,,,122,98586
,,,,,,,123,96324
,,,,,,,124,96290
,,,,,,,125,97810
,,,,,,,126,104868
,,,,,,,127,122918
,,,,,,,128,132280
,,,,,,,129,123398
,,,,,,,130,103818
,,,,,,,131,96772
,,,,,,,132,92390
,,,,,,,133,95166
,,,,,,,134,99830
,,,,,,,135,105524
,,,,,,,136,115182
,,,,,,,137,124546
,,,,,,,138,138378
,,,,,,,139,135602
,,,,,,,140,128642
,,,,,,,141,124698
,,,,,,,142,114100
,,,,,,,143,105906
,,,,,,,144,98028
,,,,,,,145,93418
,,,,,,,146,88424
,,,,,,,147,86764
,,,,,,,148,86664
,,,,,,,149,87134
,,,,,,,150,90096
,,,,,,,151,96378
,,,,,,,152,97712
,,,,,,,153,90718
,,,,,,,154,82208
,,,,,,,155,76678
,,,,,,,156,73324
,,,,,,,157,72920
,,,,,,,158,74920
,,,,,,,159,82982
,,,,,,,160,92970
,,,,,,,161,103600
,,,,,,,162,114122
,,,,,,,163,115946
,,,,,,,164,114274
,,,,,,,165,110614
,,,,,,,166,106944
,,,,,,,167,101108
,,,,,,,168,94280
,,,,,,,169,88358
,,,,,,,170,84370
,,,,,,,171,82720
,,,,,,,172,82634
,,,,,,,173,83168
,,,,,,,174,85572
,,,,,,,175,89964
,,,,,,,176,90358
,,,,,,,177,88828
,,,,,,,178,85070
,,,,,,,179,76242
,,,,,,,180,72002
,,,,,,,181,75422
,,,,,,,182,77792
,,,,,,,183,82764
,,,,,,,184,97198
,,,,,,,185,109872
,,,,,,,186,122044
,,,,,,,187,124972
,,,,,,,188,124108
,,,,,,,189,121454
,,,,,,,190,116492
,,,,,,,191,109008
,,,,,,,192,101338
,,,,,,,193,93876
,,,,,,,194,91854
,,,,,,,195,90816
,,,,,,,196,91636
,,,,,,,197,94170
,,,,,,,198,101906
,,,,,,,199,120186
,,,,,,,200,132258
,,,,,,,201,127440
,,,,,,,202,111106
,,,,,,,203,100574
,,,,,,,204,94128
,,,,,,,205,91440
,,,,,,,206,92750
,,,,,,,207,98224
,,,,,,,208,110756
,,,,,,,209,130838
,,,,,,,210,147402
,,,,,,,211,145916
,,,,,,,212,140650
,,,,,,,213,136552
,,,,,,,214,122066
,,,,,,,215,111074
,,,,,,,216,102224
,,,,,,,217,95646
,,,,,,,218,92674
,,,,,,,219,91516
,,,,,,,220,91974
,,,,,,,221,94618
,,,,,,,222,102518
,,,,,,,223,120710
,,,,,,,224,130412
,,,,,,,225,119236
,,,,,,,226,102136
,,,,,,,227,94018
,,,,,,,228,89004
,,,,,,,229,87812
,,,,,,,230,91396
,,,,,,,231,103098
,,,,,,,232,115476
,,,,,,,233,128576
,,,,,,,234,142114
,,,,,,,235,140038
,,,,,,,236,134248
,,,,,,,237,130424
,,,,,,,238,118296
,,,,,,,239,108026
,,,,,,,240,99744
,,,,,,,241,95144
,,,,,,,242,92544
,,,,,,,243,91450
,,,,,,,244,92280
,,,,,,,245,94904
,,,,,,,246,102660
,,,,,,,247,121060
,,,,,,,248,129724
,,,,,,,249,114482
,,,,,,,250,100388
,,,,,,,251,92586
,,,,,,,252,87146
,,,,,,,253,85868
,,,,,,,254,90336
,,,,,,,255,102726
,,,,,,,256,114416
,,,,,,,257,127200
,,,,,,,258,140748
,,,,,,,259,138552
,,,,,,,260,132248
,,,,,,,261,128336
,,,,,,,262,116002
,,,,,,,263,105850
,,,,,,,264,97416
,,,,,,,265,91560
,,,,,,,266,88598
,,,,,,,267,86610
,,,,,,,268,86556
,,,,,,,269,88162
,,,,,,,270,94924
,,,,,,,271,111674
,,,,,,,272,123998
,,,,,,,273,122470
,,,,,,,274,117378
,,,,,,,275,115182
,,,,,,,276,114252
,,,,,,,277,114636
,,,,,,,278,114996
,,,,,,,279,115444
,,,,,,,280,119038
,,,,,,,281,126938
,,,,,,,282,137394
,,,,,,,283,135198
,,,,,,,284,129178
,,,,,,,285,125452
,,,,,,,286,112702
,,,,,,,287,102682
,,,,,,,288,94466
,,,,,,,289,88216
,,,,,,,290,85136
,,,,,,,291,83092
,,,,,,,292,83332
,,,,,,,293,85004
,,,,,,,294,91702
,,,,,,,295,108910
,,,,,,,296,119956
,,,,,,,297,109194
,,,,,,,298,101918
,,,,,,,299,99984
,,,,,,,300,99394
,,,,,,,301,106670
,,,,,,,302,112178
,,,,,,,303,116328
,,,,,,,304,122350
,,,,,,,305,132936
,,,,,,,306,145566
,,,,,,,307,141962
,,,,,,,308,135624
,,,,,,,309,132368
,,,,,,,310,122370
,,,,,,,311,114416
,,,,,,,312,107020
,,,,,,,313,106234
,,,,,,,314,102310
,,,,,,,315,100650
,,,,,,,316,99786
,,,,,,,317,100356
,,,,,,,318,103448
,,,,,,,319,108910
,,,,,,,320,112384
,,,,,,,321,114210
,,,,,,,322,112210
,,,,,,,323,109796
,,,,,,,324,110090
,,,,,,,325,111620
,,,,,,,326,111750
,,,,,,,327,113684
,,,,,,,328,117552
,,,,,,,329,126818
,,,,,,,330,137186
,,,,,,,331,138792
,,,,,,,332,137078
,,,,,,,333,134028
,,,,,,,334,130510
,,,,,,,335,124622
,,,,,,,336,117596
,,,,,,,337,109838
,,,,,,,338,105118
,,,,,,,339,103414
,,,,,,,340,103174
,,,,,,,341,104092
,,,,,,,342,107020
,,,,,,,343,111598
,,,,,,,344,111324
,,,,,,,345,101142
,,,,,,,346,95308
,,,,,,,347,91286
,,,,,,,348,88872
,,,,,,,349,89156
,,,,,,,350,91790
,,,,,,,351,97186
,,,,,,,352,108976
,,,,,,,353,128676
,,,,,,,354,142726
,,,,,,,355,145666
,,,,,,,356,144016
,,,,,,,357,142212
,,,,,,,358,138138
,,,,,,,359,131112
,,,,,,,360,123016
,,,,,,,361,112264
,,,,,,,362,109248
,,,,,,,363,107862
,,,,,,,364,108812
,,,,,,,365,110746
,,,,,,,366,117148
,,,,,,,367,127680
,,,,,,,368,130916
,,,,,,,369,119486
,,,,,,,370,108800
,,,,,,,371,103840
,,,,,,,372,99918
,,,,,,,373,98214
,,,,,,,374,98290
,,,,,,,375,104376
,,,,,,,376,117018
,,,,,,,377,134368
,,,,,,,378,150090
,,,,,,,379,147010
,,,,,,,380,139972
,,,,,,,381,135514
,,,,,,,382,127976
,,,,,,,383,118546
,,,,,,,384,109752
,,,,,,,385,101208
,,,,,,,386,97952
,,,,,,,387,96084
,,,,,,,388,95920
,,,,,,,389,97952
,,,,,,,390,105086
